
Timestamp,ID,Extended,Bus,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
1023,414,0,0,8,00,EA,9F,FC,FE,63,00,89
1034,416,0,0,8,00,80,00,90,FF,0E,D0,91
1034,690,0,0,8,00,00,00,00,3F,00,01,04
1034,464,0,0,8,4B,30,42,C9,00,00,CD,88
1045,373,0,0,3,FF,FF,FF,,,,,
1045,181,0,0,8,B3,01,80,00,08,30,00,44
1045,180,0,0,8,3A,06,00,00,7D,FF,FF,02
1045,172,0,0,8,AD,06,00,00,00,7D,00,7D
1056,418,0,0,8,00,00,00,1F,D0,07,00,9A
1056,466,0,0,6,F0,0F,FF,4C,F0,FF,,
1056,181,0,0,8,B5,03,80,00,08,30,00,44
1067,168,0,0,8,7F,7D,F8,72,F8,F1,03,00
1067,196,0,0,7,00,80,FD,00,80,FF,F2,
1067,180,0,0,8,3B,07,00,00,7D,FF,FF,02
1078,172,0,0,8,AE,07,00,00,00,7D,00,7D
1078,418,0,0,8,00,00,00,2F,D0,07,00,AA
1078,181,0,0,8,B7,05,80,00,08,30,00,44
1079,196,0,0,7,00,80,FD,00,80,FF,F2,
1089,168,0,0,8,72,70,F8,72,F8,F1,03,00
1089,180,0,0,8,3C,08,00,00,7D,FF,FF,02
1089,172,0,0,8,AF,08,00,00,00,7D,00,7D
1100,418,0,0,8,00,00,00,3F,D0,07,00,BA
1100,186,0,0,8,03,FF,0F,00,00,7F,83,2F
1100,181,0,0,8,B9,07,80,00,08,30,00,44
1111,196,0,0,7,00,80,FD,00,80,FF,F2,
1111,168,0,0,8,74,72,F8,72,F8,F1,03,00
1111,180,0,0,8,3D,09,00,00,7D,FF,FF,02
1122,172,0,0,8,B0,09,00,00,00,7D,00,7D
1122,1176,0,0,8,29,52,FF,FF,FF,FF,FF,FF
1122,181,0,0,8,BB,09,80,00,08,30,00,44
1133,196,0,0,7,00,80,FD,00,80,FF,F2,
1133,168,0,0,8,76,74,F8,72,F8,F1,03,00
1133,181,0,0,8,BC,0A,80,00,08,30,00,44
1134,206,0,0,8,00,00,00,00,00,00,00,00
1144,170,0,0,8,9D,75,F8,00,00,00,84,00
1144,185,0,0,6,70,05,00,00,C0,F0,,
1144,180,0,0,8,3F,0B,00,00,7D,FF,FF,02
1155,172,0,0,8,B2,0B,00,00,00,7D,00,7D
1155,418,0,0,8,00,00,00,6F,D0,07,00,EA
1155,181,0,0,8,BF,0D,80,00,08,30,00,44
1166,196,0,0,7,00,80,FD,00,80,FF,F2,
1166,168,0,0,8,7A,78,F8,72,F8,F1,03,00
1166,180,0,0,8,40,0C,00,00,7D,FF,FF,02
1177,172,0,0,8,B3,0C,00,00,00,7D,00,7D
1177,418,0,0,8,00,00,00,7F,D0,07,00,FA
1177,181,0,0,8,B2,00,80,00,08,30,00,44
1178,168,0,0,8,7C,7A,F8,72,F8,F1,03,00
1188,196,0,0,7,00,80,FD,00,80,FF,F2,
1188,180,0,0,8,41,0D,00,00,7D,FF,FF,02
1189,172,0,0,8,B4,0D,00,00,00,7D,00,7D
1199,418,0,0,8,00,00,00,8F,D0,07,00,0B
1199,186,0,0,8,03,FF,0F,00,00,84,88,2F
1199,181,0,0,8,B4,02,80,00,08,30,00,44
1210,196,0,0,7,00,80,FD,00,80,FF,F2,
1210,168,0,0,8,7E,7C,F8,72,F8,F1,03,00
1210,180,0,0,8,42,0E,00,00,7D,FF,FF,02
1221,172,0,0,8,B5,0E,00,00,00,7D,00,7D
1221,418,0,0,8,00,00,00,9F,D0,07,00,1B
1221,181,0,0,8,B6,04,80,00,08,30,00,44
1232,168,0,0,8,80,7E,F8,72,F8,F1,03,00
1232,196,0,0,7,00,80,FD,00,80,FF,F2,
1232,418,0,0,8,00,00,00,AF,D0,07,00,2B
1233,186,0,0,8,03,FF,0F,00,00,86,8A,2F
1243,168,0,0,8,72,70,F8,72,F8,F1,03,00
1243,170,0,0,8,99,71,F8,00,00,00,84,00
1244,508,0,0,2,A4,03,,,,,,
1254,185,0,0,6,75,0A,00,00,C0,F0,,
1254,180,0,0,8,35,01,00,00,7D,FF,FF,02
1254,191,0,0,5,89,09,FF,FF,C0,,,
1255,414,0,0,8,00,EA,AF,FC,FE,63,00,99
1265,416,0,0,8,00,80,00,A0,FF,0E,90,61
1265,180,0,0,8,36,02,00,00,7D,FF,FF,02
1266,172,0,0,8,A9,02,00,00,00,7D,00,7D
1276,418,0,0,8,00,00,00,CF,D0,07,00,4B
1276,186,0,0,8,03,FF,0F,00,00,88,8C,2F
1276,181,0,0,8,BC,0A,80,00,08,30,00,44
1287,168,0,0,8,77,75,F8,72,F8,F1,03,00
1287,196,0,0,7,00,80,FD,00,80,FF,F2,
1287,180,0,0,8,37,03,00,00,7D,FF,FF,02
1298,172,0,0,8,AA,03,00,00,00,7D,00,7D
1298,418,0,0,8,00,00,00,DF,D0,07,00,5B
1298,181,0,0,8,BE,0C,80,00,08,30,00,44
1309,168,0,0,8,79,77,F8,72,F8,F1,03,00
1309,196,0,0,7,00,80,FD,00,80,FF,F2,
1309,180,0,0,8,38,04,00,00,7D,FF,FF,02
1309,172,0,0,8,AB,04,00,00,00,7D,00,7D
1320,418,0,0,8,00,00,00,EF,D0,07,00,6B
1320,181,0,0,8,C0,0E,80,00,08,30,00,44
1320,168,0,0,8,7B,79,F8,72,F8,F1,03,00
1331,196,0,0,7,00,80,FD,00,80,FF,F2,
1331,169,0,0,8,15,59,87,CF,2B,87,FF,08
1331,172,0,0,8,AC,05,00,00,00,7D,00,7D
1342,418,0,0,8,00,00,00,0F,D0,07,00,8A
1342,186,0,0,8,03,FF,0F,00,00,7C,80,2F
1342,181,0,0,8,B3,01,80,00,08,30,00,44
1353,168,0,0,8,7D,7B,F8,72,F8,F1,03,00
1353,196,0,0,7,00,80,FD,00,80,FF,F2,
1353,169,0,0,8,18,5C,87,CF,2B,87,FF,08
1354,206,0,0,8,00,00,00,00,00,00,00,00
1364,170,0,0,8,A4,7C,F8,00,00,00,84,00
1364,185,0,0,6,6C,01,00,00,C0,F0,,
1364,180,0,0,8,3B,07,00,00,7D,FF,FF,02
1375,172,0,0,8,AE,07,00,00,00,7D,00,7D
1375,418,0,0,8,00,00,00,2F,D0,07,00,AA
1375,690,0,0,8,00,00,00,00,4F,00,01,04
1386,181,0,0,8,B7,05,80,00,08,30,00,44
1386,168,0,0,8,72,70,F8,72,F8,F1,03,00
1386,180,0,0,8,3C,08,00,00,7D,FF,FF,02
1397,172,0,0,8,AF,08,00,00,00,7D,00,7D
1397,948,0,0,8,A5,F3,09,FF,FF,FF,FF,FF
1397,181,0,0,8,B9,07,80,00,08,30,00,44
1408,168,0,0,8,74,72,F8,72,F8,F1,03,00
1408,196,0,0,7,00,80,FD,00,80,FF,F2,
1408,180,0,0,8,3D,09,00,00,7D,FF,FF,02
1408,172,0,0,8,B0,09,00,00,00,7D,00,7D
1419,418,0,0,8,00,00,00,4F,D0,07,00,CA
1419,181,0,0,8,BB,09,80,00,08,30,00,44
1419,168,0,0,8,76,74,F8,72,F8,F1,03,00
1430,196,0,0,7,00,80,FD,00,80,FF,F2,
1430,169,0,0,8,10,54,87,CF,2B,87,FF,08
1430,180,0,0,8,3E,0A,00,00,7D,FF,FF,02
1441,172,0,0,8,B1,0A,00,00,00,7D,00,7D
1441,418,0,0,8,00,00,00,5F,D0,07,00,DA
1441,181,0,0,8,BD,0B,80,00,08,30,00,44
1452,168,0,0,8,78,76,F8,72,F8,F1,03,00
1452,196,0,0,7,00,80,FD,00,80,FF,F2,
1452,418,0,0,8,00,00,00,6F,D0,07,00,EA
1463,186,0,0,8,03,FF,0F,00,00,82,86,2F
1463,168,0,0,8,79,77,F8,72,F8,F1,03,00
1463,169,0,0,8,14,58,87,CF,2B,87,FF,08
1463,170,0,0,8,A0,78,F8,00,00,00,84,00
1474,185,0,0,6,71,06,00,00,C0,F0,,
1474,182,0,0,5,05,05,80,00,C8,,,
1474,191,0,0,5,85,05,FF,FF,C0,,,
1485,403,0,0,8,64,FE,FC,00,F8,C0,00,00
1485,414,0,0,8,00,EA,BF,FC,FE,63,00,A9
1485,180,0,0,8,41,0D,00,00,7D,FF,FF,02
1496,172,0,0,8,B4,0D,00,00,00,7D,00,7D
1496,418,0,0,8,00,00,00,8F,D0,07,00,0B
1496,1174,0,0,8,17,52,FF,01,FF,FF,FF,FF
1496,181,0,0,8,B4,02,80,00,08,30,00,44
1507,168,0,0,8,7E,7C,F8,72,F8,F1,03,00
1507,180,0,0,8,42,0E,00,00,7D,FF,FF,02
1507,172,0,0,8,B5,0E,00,00,00,7D,00,7D
1518,418,0,0,8,00,00,00,9F,D0,07,00,1B
1518,186,0,0,8,03,FF,0F,00,00,85,89,2F
1518,784,0,0,7,83,67,0B,00,00,5A,23,
1529,181,0,0,8,B6,04,80,00,08,30,00,44
1529,168,0,0,8,80,7E,F8,72,F8,F1,03,00
1529,180,0,0,8,34,00,00,00,7D,FF,FF,02
1540,172,0,0,8,A7,00,00,00,00,7D,00,7D
1540,418,0,0,8,00,00,00,AF,D0,07,00,2B
1540,196,0,0,7,00,80,FD,00,80,FF,F2,
1551,168,0,0,8,73,71,F8,72,F8,F1,03,00
1551,181,0,0,8,B8,06,80,00,08,30,00,44
1551,172,0,0,8,A8,01,00,00,00,7D,00,7D
1551,418,0,0,8,00,00,00,BF,D0,07,00,3B
1562,186,0,0,8,03,FF,0F,00,00,87,8B,2F
1562,181,0,0,8,BA,08,80,00,08,30,00,44
1562,168,0,0,8,75,73,F8,72,F8,F1,03,00
1573,169,0,0,8,0F,53,87,CF,2B,87,FF,08
1573,196,0,0,7,00,80,FD,00,80,FF,F2,
1573,196,0,0,7,00,80,FD,00,80,FF,F2,
1584,170,0,0,8,9C,74,F8,00,00,00,84,00
1584,206,0,0,8,00,00,00,00,00,00,00,00
1584,185,0,0,6,77,0C,00,00,C0,F0,,
1595,180,0,0,8,37,03,00,00,7D,FF,FF,02
1595,172,0,0,8,AA,03,00,00,00,7D,00,7D
1595,690,0,0,8,00,00,00,00,4F,00,01,04
1596,181,0,0,8,BE,0C,80,00,08,30,00,44
1606,168,0,0,8,79,77,F8,72,F8,F1,03,00
1606,180,0,0,8,38,04,00,00,7D,FF,FF,02
1606,172,0,0,8,AB,04,00,00,00,7D,00,7D
1617,438,0,0,7,FF,FF,00,00,00,AC,00,
1617,418,0,0,8,00,00,00,EF,D0,07,00,6B
1617,181,0,0,8,C0,0E,80,00,08,30,00,44
1628,168,0,0,8,7B,79,F8,72,F8,F1,03,00
1628,196,0,0,7,00,80,FD,00,80,FF,F2,
1628,180,0,0,8,39,05,00,00,7D,FF,FF,02
1639,172,0,0,8,AC,05,00,00,00,7D,00,7D
1639,418,0,0,8,00,00,00,0F,D0,07,00,8A
1639,181,0,0,8,B3,01,80,00,08,30,00,44
1650,168,0,0,8,7D,7B,F8,72,F8,F1,03,00
1650,196,0,0,7,00,80,FD,00,80,FF,F2,
1650,180,0,0,8,3A,06,00,00,7D,FF,FF,02
1650,172,0,0,8,AD,06,00,00,00,7D,00,7D
1661,418,0,0,8,00,00,00,1F,D0,07,00,9A
1661,466,0,0,6,F0,0F,FF,7C,F0,FF,,
1661,168,0,0,8,7F,7D,F8,72,F8,F1,03,00
1672,181,0,0,8,B5,03,80,00,08,30,00,44
1672,169,0,0,8,19,5D,87,CF,2B,87,FF,08
1672,418,0,0,8,00,00,00,2F,D0,07,00,AA
1683,186,0,0,8,03,FF,0F,00,00,7E,82,2F
1683,168,0,0,8,80,7E,F8,72,F8,F1,03,00
1683,170,0,0,8,98,70,F8,00,00,00,84,00
1694,185,0,0,6,6D,02,00,00,C0,F0,,
1694,180,0,0,8,3C,08,00,00,7D,FF,FF,02
1694,182,0,0,5,00,01,80,00,C8,,,
1694,191,0,0,5,81,01,FF,FF,C0,,,
1705,414,0,0,8,00,EA,CF,FC,FE,63,00,B9
1705,180,0,0,8,3D,09,00,00,7D,FF,FF,02
1705,172,0,0,8,B0,09,00,00,00,7D,00,7D
1716,1007,0,0,2,0C,00,,,,,,
1716,1426,0,0,8,30,01,00,7A,FA,01,00,03
1716,181,0,0,8,BB,09,80,00,08,30,00,44
1716,168,0,0,8,76,74,F8,72,F8,F1,03,00
1727,196,0,0,7,00,80,FD,00,80,FF,F2,
1727,180,0,0,8,3E,0A,00,00,7D,FF,FF,02
1727,172,0,0,8,B1,0A,00,00,00,7D,00,7D
1738,418,0,0,8,00,00,00,5F,D0,07,00,DA
1738,168,0,0,8,77,75,F8,72,F8,F1,03,00
1738,181,0,0,8,BD,0B,80,00,08,30,00,44
1749,168,0,0,8,78,76,F8,72,F8,F1,03,00
1749,196,0,0,7,00,80,FD,00,80,FF,F2,
1749,180,0,0,8,3F,0B,00,00,7D,FF,FF,02
1760,172,0,0,8,B2,0B,00,00,00,7D,00,7D
